縣市代號,縣市代碼,縣市名稱
63000,01,臺北市
64000,02,高雄市
65000,03,新北市
66000,04,臺中市
67000,05,臺南市
68000,06,桃園市

10002,11,宜蘭縣
10004,12,新竹縣
10005,13,苗栗縣
10007,14,彰化縣
10008,15,南投縣
10009,16,雲林縣
10010,17,嘉義縣
10013,18,屏東縣
10014,19,臺東縣
10015,20,花蓮縣
10016,21,澎湖縣

10017,31,基隆市
10018,32,新竹市
10019,33,臺中市
10020,34,嘉義市

09007,41,連江縣
09020,42,金門縣
